corename,latitude,longitude,wdepth,sdepth,mgca,clean,size_lower,size_upper,omega,pH,t_annual,s_annual,t_seasonal,s_seasonal,grid_lat,grid_lon,include,species,reference1,reference2,reference_link1,reference_link2,omega_inv_sq,clean_method
KNR158-4 MC45h,52.9762,-19.8272,2739,0.75,0.99,1,150,255,1.526432395,8.119040489,12.36360931,35.38399887,12.36362338,35.38400841,52.5,-19.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.429185313,reductive
KNR158-4 MC56a,58.6605,-25.4207,2765,0.75,1.02,1,255,355,1.311344266,8.123774529,9.650909424,35.11230087,9.650930961,35.11230723,58.5,-25.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.581522545,reductive
KNR158-4 MC56b,58.6605,-25.4207,2765,0.75,1.02,1,255,355,1.311344266,8.123774529,9.650909424,35.11230087,9.650930961,35.11230723,58.5,-25.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.581522545,reductive
KNR158-4 MC56c,58.6605,-25.4207,2765,0.75,1.09,1,255,355,1.311344266,8.123774529,9.650909424,35.11230087,9.650930961,35.11230723,58.5,-25.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.581522545,reductive
KNR158-4 MC56e,58.6605,-25.4207,2765,0.75,0.94,1,150,255,1.311344266,8.123774529,9.650909424,35.11230087,9.650930961,35.11230723,58.5,-25.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.581522545,reductive
KNR158-4 MC56f,58.6605,-25.4207,2765,0.75,0.99,1,150,255,1.311344266,8.123774529,9.650909424,35.11230087,9.650930961,35.11230723,58.5,-25.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.581522545,reductive
KNR158-4 MC56g,58.6605,-25.4207,2765,0.75,0.98,1,150,255,1.311344266,8.123774529,9.650909424,35.11230087,9.650930961,35.11230723,58.5,-25.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.581522545,reductive
KNR158-4 MC60d,60.2557,-26.5967,1866,0.75,0.88,1,150,255,1.782250404,8.111787796,8.893090248,35.1012001,8.893059254,35.10119088,60.5,-26.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.314820175,reductive
KNR158-4 MC60e,60.2557,-26.5967,1866,0.75,0.92,1,150,255,1.782250404,8.111787796,8.893090248,35.1012001,8.893059254,35.10119088,60.5,-26.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.314820175,reductive
KNR158-4 MC78a,64.664,-28.5827,1237,0.75,1.34,1,255,355,1.950689554,8.113759995,6.592989922,34.74740982,8.169529676,34.58453751,64.5,-28.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.262798985,reductive
KNR158-4 MC78b,64.664,-28.5827,1236,0.75,1.32,1,255,355,1.950689554,8.113759995,6.592989922,34.74740982,8.169529676,34.58453751,64.5,-28.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.262798985,reductive
KNR158-4 MC78c,64.664,-28.5827,1236,0.75,1.28,1,255,355,1.950689554,8.113759995,6.592989922,34.74740982,8.169529676,34.58453751,64.5,-28.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.262798985,reductive
KNR158-4 MC78f,64.664,-28.5827,1236,0.75,1.08,1,150,255,1.950689554,8.113759995,6.592989922,34.74740982,8.169529676,34.58453751,64.5,-28.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.262798985,reductive
KNR158-4 MC78g,64.664,-28.5827,1236,0.75,1.08,1,150,255,1.950689554,8.113759995,6.592989922,34.74740982,8.169529676,34.58453751,64.5,-28.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.262798985,reductive
KNR158-4 MC78h,64.664,-28.5827,1236,0.75,1.18,1,150,255,1.950689554,8.113759995,6.592989922,34.74740982,8.169529676,34.58453751,64.5,-28.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.262798985,reductive
KNR158-4 MC83a,63.4087,-30.9467,2486,0.75,1.28,1,255,355,1.472346663,8.106079102,7.169410229,34.9249115,8.65201416,34.8516777,63.5,-30.5,1,incompta,Morley2017,,https://doi.org/10.1002/2017GC007111,,0.461296168,reductive
